1.Mostrar los discos que tengan más de 5 canciones. Construir la expresión equivalente en álgebra relacional.

                                     título_disco                                     | año_publicación 
 Hate Unit                                                                            |            2004
 Hear My Train A' Comin                                                               |            2012
 Heathers - Original Motion Picture Soundtrack                                        |            1989
 Heaven Knows                                                                         |            1978
 Heidenlarm                                                                           |            2008
 Heilt Nye Vei                                                                        |            2012
 Help!  (7 Song Radio Sampler)                                                        |            2008
 Her River Raves Recollections                                                        |            2009
 Herbal Healing                                                                       |            2012
 Here We Go Again                                                                     |            1959
 Herederos De Un Imperio                                                              |            2011
 Heterogenial                                                                         |            1994
 Hokey Pokey                                                                          |            2004
 Holst: The Planets, Op. 32                                                           |            1980
 Home                                                                                 |            1972
 Hot! Hot!                                                                            |            1978
 House Shoes & Street Corner Music Present: The Gift Vol. 5!                          |            2015
 Howard Carpendale - Die LP Zur Tournee                                               |            1978
 Hurry Sundown                                                                        |            1977
 Hver Dag Er En Perfekt Dag                                                           |            1992
 I Ain't Yer House-Nigger                                                             |            1997
 I Am A Dope Fiend                                                                    |            1992
 I Am A Photograph                                                                    |            1977
 I Am Kloot                                                                           |            2003
 I Can't Let Go Of Your Love                                                          |            1970
 I Love To Dance                                                                      |            1976
 I Wish My Life Was Based On A True Story                                             |            2013
 Ich Fühl Mich Wohl In Deinem Leben                                                   |            1989
 I'd Like To Teach The World To Sing                                                  |            1996
 If Ever I Would Leave You                                                            |            1998
 If You're Into It, I'm Out Of It                                                     |            2018
 II                                                                                   |            2015
 Il Faudrait Leur Dire...                                                             |            1999
 Il Mondo Dei Giovani Vol. 1                                                          |            1999
 Im 3/4 Takt                                                                          |            2006
 I'm Not So Lucky (Showcase)                                                          |            1980
 I'm That Type Of Girl                                                                |            2003
 Imelda May Live @ 12 Bar Club                                                        |            2010
 Impact                                                                               |            1996
 In A Mirror Darkly                                                                   |            2014
 In A Word: Yes (1969 -    )                                                          |            2008
 In Concert - Tel Aviv and Jerusalem - 1969                                           |            2012
 In Freundschaft · Traum-Formel · Amour                                               |            1993
 In Montreal                                                                          |            1995
 In Scarlet And Vile                                                                  |            2004
 In Soviet Russia, My Heart Breaks You                                                |            2011
 In The Realm Of Asgærd                                                               |            2010
 In The Wake Of The Dark Earth                                                        |            2015
 -In-A-Gadda-Da-Vida                                                                  |            1969
 Introducing Danny Johnson                                                            |            1978
 Istra Ti Materina: Part 1                                                            |            1995
 It Found A Voice...                                                                  |            1974
 It Happened One Bite                                                                 |            1978
 Iter                                                                                 |            1986
 It's A Man's World                                                                   |            1966
 Jag Offs / Four Letter Words Split                                                   |            2010
 Jazz... Has... A Sense Of Humor                                                      |            1999
 Johnny B. Goode                                                                      |            1983
 June 22 2008 - Washington, DC                                                        |            2018
 Just Because I'm A Woman                                                             |            2023
 Kad Bi' Bio Bijelo Dugme                                                             |            1974
 Keel                                                                                 |            1987
 Kenton In Hi Fi                                                                      |            1956
 Kick Ass !!                                                                          |            2009
 Klavierspielereien                                                                   |               1
 Komsomol Scouts Space                                                                |            2013
 Koncert                                                                              |            1987
 Kootch                                                                               |            1973
 Krakakot                                                                             |            2000
 La Fete A Manu                                                                       |            1989
 La Torre Di Babele                                                                   |            1976
 Lady                                                                                 |            1984
 Laid Insignificant                                                                   |            1999
 L'Arc-en-Ciel Live 2014 At 国立競技場                                                |            2014
 Layering Errors LP                                                                   |            2013
 Leben Ist                                                                            |            1991
 Legends Of Rock, Vol. 2, Rare Items                                                  |            1974
 Les Merveilleux Avantages De La Stéréophonie                                         |            2002
 Let It Loose                                                                         |            1989
 Levande På G                                                                         |            2014
 Ley De Vida                                                                          |            2008
 Lifetime Woman                                                                       |            1988
 Light Years: The Very Best Of Electric Light Orchestra                               |            1997
 L'Invitation                                                                         |            1981
 Lipan's Kinetic                                                                      |            2015
 Little Flecks Of Foam Around Barking                                                 |            1989
 Live!                                                                                |            1975
 Live Across Australia                                                                |            1987
 Live At Sing Sing                                                                    |            1972
 Live At The Cimarron Ballroom                                                        |            1997
 Live At The Pickwick!                                                                |            1998
 Live At The Roxy Club                                                                |            1989
 Live II                                                                              |            2015
 Live! In The Air Age                                                                 |            1977
 Live It Out                                                                          |            2006
 Lonesome Love                                                                        |            1964
 Los Rebeldes Del Rock                                                                |            1971
 Lost Souls                                                                           |            2000
 Love Come Down: The Best Of Evelyn Champagne King                                    |            1993
 Love Me Crazy                                                                        |            1992
 Loz Netto's Bzar                                                                     |            1982
 Ma Liberté                                                                           |            1972
 Magic Lady                                                                           |            1988
 Mais... C'est Pas Dieu Possible !!!!!                                                |            2009
 Make Way For The Ocean Floor To Fall To The Surface                                  |            1990
 Mantovani Encores                                                                    |            1957
 Mariposa                                                                             |            1992
 Matthew Fisher                                                                       |            1980
 Mayfield: Remixed (The Curtis Mayfield Collection)                                   |            2004
 Mega                                                                                 |            2002
 Meleg Az Éjszaka                                                                     |            1981
 Melodies Japonaises Pour Flute Et Harpe                                              |            1978
 Mental Blocks For All Ages                                                           |            1991
 Mestrud                                                                              |            1975
 Miguel Bosé                                                                          |            2022
 Mildt Sagt                                                                           |            2003
 Milk Inc.                                                                            |            2002
 Mixed Roots                                                                          |            1996
 Modern Pop Percussion (L'Oiseau Sans Pieds)                                          |               1
 More Out Of Today                                                                    |            1995
 Mr. Dabada                                                                           |            2002
 Mundus Subterraneus                                                                  |            2020
 Music And Gibran (A Contemporary Interpretation)                                     |               1
 Music From The Godfather                                                             |            1972
 My Time / Talkin' To Me / All I Wanna Know                                           |            1984
 Myst III: Exile (The Soundtrack)                                                     |            2004
 Neon Music                                                                           |            2017
 New Solos By An Old Master                                                           |            1956
 New Wild Everywhere                                                                  |            2012
 Nightfall                                                                            |            2002
 No Pressure                                                                          |            2020
 Nonostante Tutto                                                                     |            2018
 Northward                                                                            |            2018
 Not Trendy                                                                           |            2013
 Od Neba Do Neba                                                                      |            2003
 Odz Manouk                                                                           |            2013
 Of Myths And Legends                                                                 |            1975
 Ominous Black                                                                        |            2020
 One By One                                                                           |            1992
 Our Blue Side                                                                        |            1965
 Owl Hours                                                                            |            2022
 Oxygene (The Complete Oxygene)                                                       |            1997
 Pachanga Cha - Cha - Cha Anyone?                                                     |            1965
 Pacheco Y Su Charanga                                                                |            1961
 Pale                                                                                 |            2014
 Paranoia Picknick                                                                    |            2004
 Paris Winter Spring                                                                  |            2014
 Party Hats                                                                           |            2007
 Passion Selon Saint Marc = Markuspassion BWV 247                                     |               1
 Pavarotti & Friends For The Children Of Liberia                                      |            1998
 Penguins On The Moon                                                                 |            1986
 Pershing                                                                             |            2008
 Personennahverkehr                                                                   |            2020
 Pesadillas                                                                           |            1992
 Phaedra • Lachrymae • The Sword In The Stone • Night Mail • Sinfonietta              |            1996
 Pisces, Aquarius, Capricorn & Jones Ltd.                                             |            1967
 Planet Jive                                                                          |            2003
 Plays Solo Piano                                                                     |               1
 Pourcel Digital                                                                      |            1983
 Power Punch!!!                                                                       |            2013
 Professional Dreamer                                                                 |            2011
 Psichedelica                                                                         |            1968
 Public Foot The Roman                                                                |            1973
 Putrescent Infectious Rabidity                                                       |            2018
 Quand On N'a Que L'amour                                                             |            1996
 Quelques Notes Pour Anna                                                             |            1981
 Rafiki (Remixes)                                                                     |            2002
 Rapid Transit                                                                        |            1983
 Raumpatrouille Orion                                                                 |            1992
 Raw Nerves                                                                           |            2012
 Recuerdo De Amor                                                                     |               1
 Remix 12'                                                                            |            1986
 Renewable Destination                                                                |            2013
 Resurrection                                                                         |            1995
 Reunion                                                                              |            1998
 Revelations And The Blues                                                            |            2005
 Reverence                                                                            |            1992
 Rhoda Dakar Sings The Bodysnatchers                                                  |            2015
 Ride, Ride, Ride                                                                     |            2016
 Rivers Of Suggestion                                                                 |            2013
 Robots E.P.                                                                          |            2017
 Rock Of Ages                                                                         |            1983
 Rock Party/Smoke On The Water                                                        |            1987
 Rockfish Crossing                                                                    |            1972
 Roger                                                                                |            1987
 Romeo And Juliet                                                                     |            1978
 Roolettes                                                                            |            2003
 Rubbin' Me The Right Way                                                             |            1989
 Samba Demais                                                                         |            2018
 Sange Fra Kælderen                                                                   |            1979
 Saturday Night / Sunday Night At The Blackhawk, San Francisco                        |            1962
 Savoir Aimer                                                                         |            1997
 Scheherazade / Capriccio Espagnol / Flight Of The Bumblebee                          |               1
 Seeing And Doing.                                                                    |            2005
 Set Ya Free                                                                          |            1992
 Shine                                                                                |            2007
 Shlap                                                                                |            2004
 Sings The Songs Of Dallas Frazier                                                    |            1968
 Slaughterhouse Invitation                                                            |            1989
 Sleep                                                                                |            2024
 Soul On Board                                                                        |            2009
 South Pacific                                                                        |            1962
 Space Night Vol. VIII                                                                |            2002
 Spiral Staircase                                                                     |            1973
 Spirits Having Flown                                                                 |            1979
 Spiritual Gospel                                                                     |            1966
 Spundae Presents Interpretations II                                                  |            2001
 Spy.der Mix                                                                          |               1
 Stand Up Straight                                                                    |            1998
 Starlight                                                                            |            1983
 Starring In...Standing In A Monkey Sea                                               |            1990
 Still At Arms Length                                                                 |            2002
 Stranger Songs                                                                       |            2014
 Strawberry Music Sampler No.1                                                        |            2001
 Street Sense                                                                         |            1979
 Suavemente                                                                           |            1998
 Subterranean Hitz Vol. I                                                             |            1997
 Summary Execution                                                                    |            2019
 Summer Breeze                                                                        |            1983
 Suomi 50 - Runoja Ja Lauluja                                                         |            1969
 Sweatin' To The Oldies: The Vandals Live                                             |            1999
 Symphonies 1&8                                                                       |            1976
 Szerencsejáték                                                                       |            1982
 Tainted Angel                                                                        |            2022
 Take Cover                                                                           |            1995
 Talkin' About My Time                                                                |            1968
 Tant Pis Pour Eux !                                                                  |            2013
 Taste Of The Young Heart                                                             |            1979
 Teil 1                                                                               |            1989
 Texas Sugar / Strat Magik                                                            |            1994
 The 50th Anniversary Collection                                                      |            2012
 The Abyss                                                                            |            1990
 The Alan Davie Music Workshop 005                                                    |            2003
 The Awakening                                                                        |            1999
 The BBC Tapes - Volume IV - In Concert 1975                                          |            1997
 The Best Of The EMI Years                                                            |               1
 The Chess Box                                                                        |            2013
 The Coming Atlantis                                                                  |            1969
 The Curse                                                                            |            1986
 The Emigrants                                                                        |            1998
 The Essential Billie Holiday (Carnegie Hall Concert Recorded Live)                   |               1
 The Eternal Quest                                                                    |               1
 The Fire Below                                                                       |            2003
 The Friends Of Mr. Cairo                                                             |            1981
 The Golden Hits Of                                                                   |            1964
 The Golden Orpheus Festival 84                                                       |            1984
 The Hague '76                                                                        |            2010
 The Inner Galactic Fusion Experience                                                 |            1996
 The Japan Syndrome                                                                   |            1997
 The King Tito Puente / El Rey Tito Puente                                            |               1
 The Lone Descent                                                                     |            2011
 The Music Of The Grand Canyon                                                        |            1995
 The Nearness Of You                                                                  |            1974
 The Need To Fly                                                                      |            1983
 The Notorious Cherry Bombs                                                           |            2004
 The Original Rudolph The Red-Nosed Reindeer And Other Children's Christmas Favorites |            1964
 The Other Side                                                                       |            2018
 The Outsider                                                                         |            2006
 The Pagan Cinema                                                                     |            2012
 The Pale Haunt Departure                                                             |            2005
 The Phoenix                                                                          |            1979
 The Polka Dot Bear - The Story Of Creation                                           |               1
 The Power Of Shower                                                                  |            2007
 The Quintessential Billie Holiday, Volume IV, 1937                                   |            1988
 The Rhythm                                                                           |            1991
 The Rules Of Dada                                                                    |            2012
 The Time Machine Tour                                                                |            2008
 The Town Where a Star Falls                                                          |            2015
 The Very Best Of Johnnie Taylor                                                      |            2007
 The Way                                                                              |            2002
 The Way It Is                                                                        |            1986
 The World Of Donovan                                                                 |            1972
 Theodorakis Dirige Theodorakis, Vol 2                                                |            1972
 This Time Tomorrow                                                                   |            2001
