1.Mostrar los discos que tengan más de 5 canciones. Construir la expresión equivalente en álgebra relacional.

                                     título_disco                                     | año_publicación 
 Theodorakis Dirige Theodorakis, Vol 2                                                                                      |            1972 | 04:24
 Live At Sing Sing                                                                                                          |            1972 | 22:40
 The World Of Donovan                                                                                                       |            1972 | 
 Полынь / Верба-Вербочка / Взрослые Дочери / Подкова                                                                        |            1973 | 
 A Thousand Miles From Nowhere                                                                                              |            1973 | 15:28
 Public Foot The Roman                                                                                                      |            1973 | 15:54
 Spiral Staircase                                                                                                           |            1973 | 10:54
 Kootch                                                                                                                     |            1973 | 04:54
 Early Strawbs                                                                                                              |            1974 | 24:52
 Kad Bi' Bio Bijelo Dugme                                                                                                   |            1974 | 
 Whatever Gets You Thru' The Night                                                                                          |            1974 | 20:36
 American Classics For Loving And Dancing Pleasure                                                                          |            1974 | 
 The Nearness Of You                                                                                                        |            1974 | 00:10
 Can't Get Enough                                                                                                           |            1974 | 03:26
 It Found A Voice...                                                                                                        |            1974 | 
 The Strings Of My Heart                                                                                                    |            1974 | 09:12
 Legends Of Rock, Vol. 2, Rare Items                                                                                        |            1974 | 59:02
 What Can I Do For You                                                                                                      |            1975 | 34:40
 Live!                                                                                                                      |            1975 | 12:08
 Cantos De Venezuela                                                                                                        |            1975 | 
 Fabrizio De André                                                                                                          |            1975 | 20:52
 Nordindische Ragas - Live                                                                                                  |            1975 | 08:00
 My Will To Survive                                                                                                         |            1975 | 
 Give It What You Got                                                                                                       |            1975 | 07:21
 A Child Of Our Time                                                                                                        |            1975 | 
 Of Myths And Legends                                                                                                       |            1975 | 51:30
 Hidden                                                                                                                     |            1975 | 41:34
 Symphonies 1&8                                                                                                             |            1976 | 18:44
 La Torre Di Babele                                                                                                         |            1976 | 21:54
 Things We Said Today                                                                                                       |            1976 | 
 I Love To Dance                                                                                                            |            1976 | 24:10
 Never Gonna Let You Go                                                                                                     |            1976 | 
 Concerto De Violoncelle                                                                                                    |            1976 | 
 Macino Kolo                                                                                                                |            1976 | 
 G.C. Cameron                                                                                                               |            1976 | 09:48
 Gagaku & Beyond                                                                                                            |            1976 | 36:48
 I Am A Photograph                                                                                                          |            1977 | 17:16
 Femmina                                                                                                                    |            1977 | 19:48
 Raw Meat                                                                                                                   |            1977 | 
 Én Megálmodtalak                                                                                                           |            1977 | 
 Live! In The Air Age                                                                                                       |            1977 | 50:34
 Disque D'or De Julien Clerc                                                                                                |            1977 | 08:48
 Concert In Japan                                                                                                           |            1977 | 39:42
 Venus & The Razorblades                                                                                                    |            1977 | 38:54
 Hurry Sundown                                                                                                              |            1977 | 38:07
 Passengers                                                                                                                 |            1977 | 
 Magic Fly                                                                                                                  |            1977 | 55:50
 Rock Me Slowly / Saturday                                                                                                  |            1978 | 14:40
 Hot! Hot!                                                                                                                  |            1978 | 48:36
 Melodies Japonaises Pour Flute Et Harpe                                                                                    |            1978 | 50:16
 Everynight                                                                                                                 |            1978 | 30:38
 Seapeace (Music For Harp)                                                                                                  |            1978 | 19:02
 Romeo And Juliet                                                                                                           |            1978 | 59:45
 Heaven Knows                                                                                                               |            1978 | 08:00
 It Happened One Bite                                                                                                       |            1978 | 06:14
 Superslick / Lovemaker                                                                                                     |            1978 | 11:35
 Flying Dreams                                                                                                              |            1978 | 49:50
 Howard Carpendale - Die LP Zur Tournee                                                                                     |            1978 | 30:42
 The Raven / The Cask Of Amontillado                                                                                        |            1978 | 25:21
 Sweet Georgia Brown / Freight Train                                                                                        |            1978 | 
 Introducing Danny Johnson                                                                                                  |            1978 | 38:43
 Babylon By Bus                                                                                                             |            1978 | 20:30
 Wings Of Change                                                                                                            |            1979 | 
 Spirits Having Flown                                                                                                       |            1979 | 14:21
 Walk On... / Travelling                                                                                                    |            1979 | 
 Street Sense                                                                                                               |            1979 | 38:52
 In Concert                                                                                                                 |            1979 | 36:24
 Can't Take It With You / Sail Away                                                                                         |            1979 | 07:07
 Buddy Odor Is A Gas!                                                                                                       |            1979 | 40:48
 All I Can Do                                                                                                               |            1979 | 49:24
 Hot Stuff                                                                                                                  |            1979 | 22:48
 The Phoenix                                                                                                                |            1979 | 42:56
 Hairy Situation                                                                                                            |            1980 | 07:28
 Anyplace, Anywhere, Anytime                                                                                                |            1980 | 14:41
 I'm Not So Lucky (Showcase)                                                                                                |            1980 | 
 Passion                                                                                                                    |            1980 | 05:27
 Give Me An Inch                                                                                                            |            1980 | 07:23
 Matthew Fisher                                                                                                             |            1980 | 
 A New Dope                                                                                                                 |            1980 | 28:52
 From These Ashes..                                                                                                         |            1980 | 23:30
 Ночной Звонок / Жар-птица / Свет Любви                                                                                     |            1980 | 11:25
 Light The Flame Of Love                                                                                                    |            1980 | 20:45
 Chinatown                                                                                                                  |            1980 | 21:14
 The Receiver                                                                                                               |            1980 | 16:21
 Holst: The Planets, Op. 32                                                                                                 |            1980 | 36:36
 Get Lucky                                                                                                                  |            1981 | 19:50
 Durdurun Dünyayı                                                                                                           |            1981 | 28:39
 Rock N Roll                                                                                                                |            1981 | 21:16
 4                                                                                                                          |            1981 | 06:30
 Angel Of The Morning                                                                                                       |            1981 | 26:20
 The Friends Of Mr. Cairo                                                                                                   |            1981 | 02:24
 Rock 'N Roll                                                                                                               |            1981 | 21:16
 Mask 4                                                                                                                     |            1981 | 
 You Don't Believe Me                                                                                                       |            1981 | 16:36
 Quelques Notes Pour Anna                                                                                                   |            1981 | 38:14
 WOZ                                                                                                                        |            1981 | 15:14
 Not Guilty                                                                                                                 |            1981 | 
 L'Invitation                                                                                                               |            1981 | 44:42
 Be A Man                                                                                                                   |            1982 | 31:58
 Wedding                                                                                                                    |            1982 | 
 Setting Myself On Fire                                                                                                     |            1982 | 07:13
 The Meaning Of Love                                                                                                        |            1982 | 25:12
 Orchestral Music                                                                                                           |            1982 | 
 On S'en Fout... Nous On S'aime (Bande Originale Du Film)                                                                   |            1982 | 07:41
 Loz Netto's Bzar                                                                                                           |            1982 | 10:50
 Szerencsejáték                                                                                                             |            1982 | 
 Shout! Shout! (Knock Yourself Out)                                                                                         |            1982 | 10:40
 Andy Warhol                                                                                                                |            1982 | 26:20
 On The One                                                                                                                 |            1982 | 
 Chants D'Auvergne Vol. 1 • Folge 1                                                                                         |            1983 | 37:46
 Your Move                                                                                                                  |            1983 | 30:46
 Johnny B. Goode                                                                                                            |            1983 | 46:58
 Rapid Transit                                                                                                              |            1983 | 50:57
 Pourcel Digital                                                                                                            |            1983 | 
 The Need To Fly                                                                                                            |            1983 | 27:42
 Les Petites Rues De Singapour                                                                                              |            1983 | 12:44
 Rock Of Ages                                                                                                               |            1983 | 22:22
 You're The Drug In My Life                                                                                                 |            1983 | 38:54
 Pride And Joy                                                                                                              |            1983 | 
 Summer Breeze                                                                                                              |            1983 | 18:22
 Waiting For The War                                                                                                        |            1983 | 
 Touch The Sky                                                                                                              |            1983 | 
 Alma Tädin Illuusio                                                                                                        |            1983 | 43:24
 In The Bottle                                                                                                              |            1983 | 23:22
 Starlight                                                                                                                  |            1983 | 39:32
 The Golden Orpheus Festival 84                                                                                             |            1984 | 
 Lady                                                                                                                       |            1984 | 
 My Time / Talkin' To Me / All I Wanna Know                                                                                 |            1984 | 04:04
 That Summer Feeling                                                                                                        |            1984 | 21:10
 Finesse                                                                                                                    |            1984 | 
 Jazzy Lady                                                                                                                 |            1984 | 
 I Am Forever                                                                                                               |            1984 | 17:48
 U.S.A. Remix                                                                                                               |            1984 | 
 Eden's Fire                                                                                                                |            1984 | 
 Let Me Be The One                                                                                                          |            1984 | 06:48
 Mluví K Vám Robot                                                                                                          |            1984 | 14:14
 Лунная Рапсодия                                                                                                            |            1984 | 36:00
 Evil Game                                                                                                                  |            1985 | 50:57
 Chief Inspector / Novela Das Nove                                                                                          |            1985 | 22:30
 El Le Visage Qui Voyage / Même L'amour                                                                                     |            1985 | 22:00
 Playing With The Elements                                                                                                  |            1985 | 
 Bossa Nova Suicide / Tidal Wave                                                                                            |            1985 | 
 Cruiser's Creek                                                                                                            |            1985 | 
 Alibi                                                                                                                      |            1985 | 01:34
 The Silent Waves                                                                                                           |            1985 | 29:14
 Bela Lugosi's Dead                                                                                                         |            1986 | 56:28
 Penguins On The Moon                                                                                                       |            1986 | 47:54
 Iter                                                                                                                       |            1986 | 37:55
 I Don't Wanna Go                                                                                                           |            1986 | 
 The Curse                                                                                                                  |            1986 | 30:26
 The Oak Tree Rapp                                                                                                          |            1986 | 39:50
 Suspicious Minds                                                                                                           |            1986 | 16:48
 Pull Up To The Bumper                                                                                                      |            1986 | 30:45
 Pensando En Ti                                                                                                             |            1986 | 
 Breakout                                                                                                                   |            1986 | 19:20
 Remix 12'                                                                                                                  |            1986 | 59:32
 Assassin Of Love                                                                                                           |            1987 | 24:03
 Single Women                                                                                                               |            1987 | 07:02
 Jack Mix II                                                                                                                |            1987 | 35:42
 Roger                                                                                                                      |            1987 | 21:46
 Blumenwalzer Aus Der Nussknacker-Suite / Walzer Aus Der Serenade Für Streichorchester / Walzer Aus Dem Ballett Dornröschen |            1987 | 
 Goldfinger (Original Motion Picture Score)                                                                                 |            1987 | 
 Народни Бисери                                                                                                             |            1987 | 46:36
 Mr. Right                                                                                                                  |            1987 | 39:32
 Koncert                                                                                                                    |            1987 | 
 Rock Party/Smoke On The Water                                                                                              |            1987 | 18:07
 Touch The Moon                                                                                                             |            1987 | 17:38
 Fake                                                                                                                       |            1987 | 55:48
 Live Across Australia                                                                                                      |            1987 | 
 Behind The Magnolia Curtain / Blow Your Top                                                                                |            1987 | 
 Little City Woman / Lonesome                                                                                               |            1987 | 
 Pretty Face                                                                                                                |            1987 | 25:06
 Keel                                                                                                                       |            1987 | 50:09
 The Quintessential Billie Holiday, Volume IV, 1937                                                                         |            1988 | 47:46
 Years Not Living                                                                                                           |            1988 | 36:53
 Magic Lady                                                                                                                 |            1988 | 08:18
 Burst                                                                                                                      |            1988 | 
 Turakaisten Paratiisi                                                                                                      |            1988 | 
 Keep All The Fires Burning Bright                                                                                          |            1988 | 52:39
 En Annan Del Av Vår Värld                                                                                                  |            1988 | 31:28
 House Affair                                                                                                               |            1988 | 
 Waves                                                                                                                      |            1988 | 14:28
 Don't Talk To Me                                                                                                           |            1988 | 
 De Dragul Tău                                                                                                              |            1988 | 08:26
 Jump In The River                                                                                                          |            1988 | 
 You Came                                                                                                                   |            1988 | 08:10
 Anything Can Happen...                                                                                                     |            1988 | 47:30
 Bigger Than Jesus                                                                                                          |            1989 | 15:08
 Wallet Woman                                                                                                               |            1989 | 21:58
 Live At The Roxy Club                                                                                                      |            1989 | 58:21
 Everybody Needs Somebody To Love                                                                                           |            1989 | 05:54
 Heathers - Original Motion Picture Soundtrack                                                                              |            1989 | 23:18
 Slaughterhouse Invitation                                                                                                  |            1989 | 
 Teil 1                                                                                                                     |            1989 | 46:30
 Change Your Ways                                                                                                           |            1989 | 
 Ich Fühl Mich Wohl In Deinem Leben                                                                                         |            1989 | 24:48
 Zoopsia                                                                                                                    |            1989 | 26:30
 Little Flecks Of Foam Around Barking                                                                                       |            1989 | 
 Поет Петр Лещенко                                                                                                          |            1989 | 11:39
 La Fete A Manu                                                                                                             |            1989 | 
 Falscher Hase                                                                                                              |            1989 | 
 Back To Life                                                                                                               |            1989 | 
 Frankly Speaking / Executioner Style                                                                                       |            1989 | 19:02
 Rubbin' Me The Right Way                                                                                                   |            1989 | 19:12
 You're My One And Only                                                                                                     |            1989 | 28:17
 Let It Loose                                                                                                               |            1989 | 16:44
 Stainless Steel Providers                                                                                                  |            1989 | 24:12
 The Final Conflict / I'm Riffin' 1990 Remix                                                                                |            1990 | 41:00
 High Tension                                                                                                               |            1990 | 39:36
 Got The Feeling                                                                                                            |            1990 | 06:16
 You Knocked The Love (Right Outta My Heart)                                                                                |            1990 | 
 Make Way For The Ocean Floor To Fall To The Surface                                                                        |            1990 | 
 Голос И Ночь (I)                                                                                                           |            1990 | 44:41
 Hot Shot In Space                                                                                                          |            1990 | 28:52
 The Abyss                                                                                                                  |            1990 | 
 Ανέκδοτα Τραγούδια Στις 33 Στροφές Νο3                                                                                     |            1990 | 
 Ξανθιά Γυναίκα                                                                                                             |            1990 | 
 Pump It                                                                                                                    |            1990 | 19:06
 Paris Concert                                                                                                              |            1990 | 40:34
 The Rhythm                                                                                                                 |            1991 | 13:27
 Hold Me Tight / You Don’t Know                                                                                             |            1991 | 
 Un Hommage De Quatre Chansons A Jacques Tati                                                                               |            1991 | 11:47
 Within My Heart                                                                                                            |            1991 | 21:17
 Mental Blocks For All Ages                                                                                                 |            1991 | 
 Raging E.P.                                                                                                                |            1991 | 
 Rockin' With The Best / Breakdown                                                                                          |            1991 | 
 If You Did Not Exist                                                                                                       |            1991 | 35:46
 Fish Tales / Swarthy Songs For Swabs                                                                                       |            1991 | 50:03
 No More Words                                                                                                              |            1991 | 
 Gracefully Chasing The Tail                                                                                                |            1991 | 
 Ivy                                                                                                                        |            1991 | 17:22
 When The Cowboys Come                                                                                                      |            1992 | 23:08
 Φωτιά Στα Σαββατόβραδα (1982 - 1992: Δέκα Χρόνια Τραγούδι)                                                                 |            1992 | 
 Jad Fair & The Pastels N°2                                                                                                 |            1992 | 
 Raumpatrouille Orion                                                                                                       |            1992 | 05:51
 Room 19 (Sha La La La Lee)                                                                                                 |            1992 | 
 Set Ya Free                                                                                                                |            1992 | 42:28
 I Am A Dope Fiend                                                                                                          |            1992 | 44:16
 I'd Die Without You                                                                                                        |            1992 | 
 Reverence                                                                                                                  |            1992 | 
 Bolomakoté                                                                                                                 |            1992 | 41:52
 Attack                                                                                                                     |            1992 | 44:00
 Love Me Crazy                                                                                                              |            1992 | 
 Fathoms                                                                                                                    |            1992 | 
 Elaine Sings Wilder                                                                                                        |            1992 | 
 Get 'Em Down                                                                                                               |            1992 | 45:24
 Mariposa                                                                                                                   |            1992 | 41:14
 One By One                                                                                                                 |            1992 | 55:00
 A Brighter Day                                                                                                             |            1993 | 41:02
 Volume 4                                                                                                                   |            1993 | 24:44
 Struck Gold                                                                                                                |            1993 | 44:44
 In Freundschaft · Traum-Formel · Amour                                                                                     |            1993 | 33:54
 Blue Waters                                                                                                                |            1993 | 
 Love Come Down: The Best Of Evelyn Champagne King                                                                          |            1993 | 09:34
 Пушка                                                                                                                      |            1993 | 38:01
 Fuk Dat                                                                                                                    |            1993 | 
 盡在不言中                                                                                                                 |            1993 | 03:56
 Fantasy                                                                                                                    |            1993 | 44:20
 All Star Remix Series                                                                                                      |            1993 | 
 Weil Dein Herz Dich Verrät                                                                                                 |            1994 | 19:03
 Texas Sugar / Strat Magik                                                                                                  |            1994 | 37:00
 Urban Sea                                                                                                                  |            1994 | 31:24
 Barehedd One / Higher                                                                                                      |            1994 | 
 Adult Crash                                                                                                                |            1994 | 25:28
 Crayon                                                                                                                     |            1994 | 09:31
 I Like It (I Like How You're Lov'in Me)                                                                                    |            1994 | 31:53
 Drum Tango                                                                                                                 |            1994 | 15:52
 Heterogenial                                                                                                               |            1994 | 48:30
 Turn That Shit Up                                                                                                          |            1994 | 
 Call My Name                                                                                                               |            1994 | 
 Scheming                                                                                                                   |            1994 | 
 You Give Jews A Bad Name                                                                                                   |            1994 | 09:16
 The Madness Must End                                                                                                       |            1994 | 
 Aquarius                                                                                                                   |            1994 | 40:45
 Toivon                                                                                                                     |            1994 | 27:40
 You Betta Ask Somebody                                                                                                     |            1994 | 
 Form                                                                                                                       |            1995 | 13:06
 More Out Of Today                                                                                                          |            1995 | 35:44
 Party Plates                                                                                                               |            1995 | 
 The Music Of The Grand Canyon                                                                                              |            1995 | 46:26
 Original Silencer / Back Against The Wall                                                                                  |            1995 | 
 Zondag In 't Zuiden                                                                                                        |            1995 | 28:10
 Tranzient / Da Muzik                                                                                                       |            1995 | 
 Dreams On Long Play                                                                                                        |            1995 | 53:24
 Dieu M'a Donné La Foi                                                                                                      |            1995 | 18:00
 Hypocrites & Parasites / Bon Scott Version                                                                                 |            1995 | 
 Are You Coming Home Today?                                                                                                 |            1995 | 14:24
 Knockin'                                                                                                                   |            1995 | 44:39
 The Best Of Wildtrax                                                                                                       |            1995 | 24:43
 Istra Ti Materina: Part 1                                                                                                  |            1995 | 35:03
 Energy Trax                                                                                                                |            1995 | 14:32
 West Coast Girl                                                                                                            |            1995 | 
 Vortice Cremisi                                                                                                            |            1995 | 
 Right Away                                                                                                                 |            1995 | 19:10
 Turquoise / Mutant Jazz                                                                                                    |            1995 | 
 Incognita / Life Force                                                                                                     |            1996 | 44:50
 Different Times - Lou Reed In The 70s                                                                                      |            1996 | 33:14
 Άσε Με Φίλε Να Μεθύσω                                                                                                      |            1996 | 
 Mind Over Manhattan                                                                                                        |            1996 | 
 Cleanhead Blues                                                                                                            |            1996 | 29:18
 The Inner Galactic Fusion Experience                                                                                       |            1996 | 
 Windfall / Legacy                                                                                                          |            1996 | 12:48
